Liked Songs	Artists	ID	ExCol
New God Flow.1	Kanye West, Pusha T, Ghostface Killah	Kanye West Presents Good Music Cruel Summer	4sc2HuZ5ATXlX7WhnXuo0h
All Is Found - Kacey Musgraves Version	Kacey Musgraves	Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)	5EeQQ8BVJTRkp1AIKJILGY
weak when ur around	blackbear	dead	3UWkbO4emEOu9YUeOGq3vU
NewYorkSoul	Jon Bellion	The Separation	6ohJSdVEIrNnHMKJWKM9vz
Friends	emma løv, Loote, JORDY	Friends	1Vt4oAoHBIopxekC8KhT6X
Sidelines	Phoebe Bridgers	Sidelines	4SKvKJaqkRl1bUZWEqTYzl
Everything's Not Lost - Live in Sydney	Coldplay	Live 2003	7IWbp0yWEF8nNjMLbKF0pU
Shiver - Live in Sydney	Coldplay	Live 2003	4CCr8SvmOrHpPKeA5e0ogE
When I Need A Friend	Coldplay	Everyday Life	34zYBKIXJD7AO3XoygjdOm
Never Ending Circles	CHVRCHES	Never Ending Circles	0NEigSzgUNzLktlgS8CZxn
What Can We Do? (feat. Nate Dogg)	Anderson .Paak, Nate Dogg	Ventura	0kOxmoYqRXjAnc5ZfQ6TIs
thursday/froze over - "interlude"	blackbear	cybersex	6cXmcur5Hu4gzI6wk24QRN
body in my bed	VÉRITÉ	new skin	35A0hbUL2Ey3mG2TbMHo0t
For The Dreamers	Jon Bellion, Blaque Keyz	Translations Through Speakers	1NWmp48T5k0JyPguEjQWeN
Blackout Christmas	VÉRITÉ	Spotify Singles - Holiday	7l7FQufQxYcuEQ7u28ur37
Playinwitme (Remix) [feat. Logic and Kehlani]	KYLE, Kehlani, Logic	Playinwitme (Remix) [feat. Logic and Kehlani]	4g5IWycTaExrzYZFynV9vs
Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG	Masked Wolf, DDG, G-Eazy	Astronaut In The Ocean (Remix) [feat. G-Eazy & DDG]	1NawUUW8GmiRbJ9UkaKGY4
Academia	Sia	Some People Have REAL Problems	6xUVeZsK8B8kwnVqrAtIhw
Atlantis	Noah Gundersen, Phoebe Bridgers	A Pillar of Salt	4Lp2SmcFyyMiWzfsDV2Qzh
Line Without a Hook (feat. mxmtoon)	Ricky Montgomery, mxmtoon	Line Without a Hook (feat. mxmtoon)	4dHdqpGaO9km4TEw9nNQSR
Ghosts	The Head And The Heart	iTunes Session	5jyDF9bqNpCKmhhClLcWP2
Everyday (feat. Rod Stewart, Miguel & Mark Ronson)	A$AP Rocky, Rod Stewart, Miguel, Mark Ronson	AT.LONG.LAST.A$AP	2N3U8uTYhjX2KwGT0pf5x0
been thinking	mike.	been thinking	6pRuna4orJHWplulXClYgo
No Replacing You	Pink Sweat$	No Replacing You	5vmSMCACbvvNyj71zAMRQ9
A Little Less Sixteen Candles, A Little More "Touch Me"	Fall Out Boy	From Under The Cork Tree	4pmU8AtVu9qU40Xd9zjEfA
Fresh Prince Of Belaire	Dave East, Rick Ross	Fresh Prince Of Belaire	7lJFAkuLq3wWIw1mUxlqob
HATE MY GUTS	blackbear	ANONYMOUS	6bMyugz1IPw7drjhEKF6ht
Cinnamon Girl	Lana Del Rey	Norman Fucking Rockwell!	2mdEsXPu8ZmkHRRtAdC09e
Everyone Changes - feat. Gabriel Aplin	Kodaline, Gabrielle Aplin	One Day At A Time (Deluxe Edition)	0rpi0y49078jPoxgKyfk5V
Going Going Gone	Passenger	Birds That Flew and Ships That Sailed	7garu1WTdN2CWk1dKO0qo9
Do What's Right	Passenger	Birds That Flew and Ships That Sailed	0drV0j381wBY2sVHPhJHVb
I Won't Be There That Day	Passenger	Birds That Flew and Ships That Sailed	7ewnxUGHBWXHWtYgMi6QrF
It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)	Beast Coast, Joey Bada$$, Flatbush Zombies, Nyck Caution, Kirk Knight, CJ Fly, AKTHESAVIOR	Escape From New York	4krhkcFf3OqxHSS1QUIsmc
THE REV3NGE	Joey Bada$$	THE REV3NGE	2qvc0vB4AAW39DR9j6vXa1
Desperado (feat. Meechy Darko, Zombie Juice & Kirk Knight)	Beast Coast, Joey Bada$$, Flatbush Zombies, Meechy Darko, Zombie Juice, Kirk Knight, Powers Pleasant	Escape From New York	5YgDRYwEHb29C85ZMjePUE
Love Is Only a Feeling	Joey Bada$$	Love Is Only a Feeling	2ZVRyUFQTI5K99wpJElGrD
Victory	Joey Bada$$	Victory	6drZfqIsfdnDRR08fHqaWE
Nothing Burns Like The Cold	Snoh Aalegra, Vince Staples	Nothing Burns Like The Cold	5sFztMcbuATI97HgXsnC5G
New Until It's Old	Passenger	Birds That Flew and Ships That Sailed	0TJRt02d1PkB2neDk3mcFC
However It Comes , Wherever It Goes	Passenger	Birds That Flew and Ships That Sailed	5GLilt1jRW3niU4AEn7ARa
Blink of an Eye	Passenger	Birds That Flew and Ships That Sailed	2uyfgIj0vJT3HiLogBQZi6
Birds That Flew and Ships That Sailed	Passenger	Birds That Flew and Ships That Sailed	3MhAnUTMs8BuGmGP73wo3L
Chasing Gold	Passenger	Birds That Flew and Ships That Sailed	4NRLG4n9elOW7UsuTCzyNd
