Maybe Songs	Artists	ID	ExCol
Cradlesong	Ezra Vine	Celeste EP	spotify:track:2hDFZBGuXonoHuO8sDVKr9
Tetris	Logic	Tetris	spotify:track:4KRdKT97yRvnQpsCqB7L4o
Just A Feeling	Phantoms, VÉRITÉ	Phantoms	spotify:track:0fykql82DQdKwLJnSBpy5E
Hurts (But It Goes Away)	The Head And The Heart	Hurts (But It Goes Away)	spotify:track:0ZjKlvWb93Ey2OyQki02nT
Bigger Picture (feat. VÉRITÉ)	Jax Anderson, VÉRITÉ	HAPPY: Bigger Picture / Say I Do	spotify:track:0ZgD5vdps2Z5WdUnjFjZ2Q
Better - Orchestral Performance	VÉRITÉ, Little Kruta	Bunker Studios Sessions, Brooklyn, NY	spotify:track:6GD9qEZJu5TySBu5VR1V5z
Rest	VÉRITÉ	Living	spotify:track:7Mpr7b2N2GGp5kUSRIzNGi
i'll take the blame	VÉRITÉ	new limbs (vol. 1)	spotify:track:6UKqiuDRMmPtA96vSIAG8f
Colors	VÉRITÉ	Sentiment	spotify:track:2zFggM21cabv3t27DkTSCv
Bout You - Audiotree Live Version	VÉRITÉ	VÉRITÉ on Audiotree Live	spotify:track:5AtHFEd1dUzKF6vc0D8OL5
Death of Me - Audiotree Live Version	VÉRITÉ	VÉRITÉ on Audiotree Live	spotify:track:3BuuKXAj7d2DdkHOKM2EZG
Green Fleece	Sitcom, Claire Cottrill	Be the One You Love	spotify:track:2kcDgEjLu8awpUkVfJy1B2
The One You Love	Sitcom	Be the One You Love	spotify:track:1qEoXfJxHExDGeO6mqpTCs
Solutions - Audiotree Live Version	VÉRITÉ	VÉRITÉ on Audiotree Live	spotify:track:6edyGvbrlX2sJ3Qqpxas5q
When	dodie	Build A Problem	spotify:track:161iaO13CvAJ3IZC2EtAEQ
evergone	Christina Perri	evergone	spotify:track:5TbZEYpwXya5oNqGJbiIQx
WAIT FOR U (feat. Drake & Tems)	Future, Drake, Tems	I NEVER LIKED YOU	spotify:track:59nOXPmaKlBfGMDeOVGrIK
Paradigm	The Head And The Heart	Every Shade of Blue	spotify:track:3VX9HKHVjgyP0ttPleaRDE
Don't Show Your Weakness	The Head And The Heart	Every Shade of Blue	spotify:track:69AJnyFceT04rDLTvkwmvR
daydream - Live at the Ocean Way Studios	Christina Perri	the ocean way sessions	spotify:track:75tcsNx8lvUqWtuEcF7mis
KEEP IT BURNIN (feat. Kanye West)	Future, Kanye West	I NEVER LIKED YOU	spotify:track:7rWCWzPRftzZTZtIyQtaDU
Love We Make	The Head And The Heart	Every Shade of Blue	spotify:track:49O0Vmej9gamTk0KWZAwDH
Family Man	The Head And The Heart	Every Shade of Blue	spotify:track:6QitcVwuuWDoY4Ucpwj7eN
Shut Up	The Head And The Heart	Every Shade of Blue	spotify:track:0eDR6tKDNd4IHtAjUuIgg7
Taking My Time (Wrong Woman)	The Head And The Heart	Every Shade of Blue	spotify:track:0v2YoreHaO94CBAXUZ9kQn
Shadows	The Head And The Heart	Every Shade of Blue	spotify:track:3pYxOeMUQRb1u8I68LWr1p
black + blue - Live at the Ocean Way Studios	Christina Perri	the ocean way sessions	spotify:track:3DYGnxtjw7FI3PYEn6KZYQ
remember me	Christina Perri	songs for carmella: lullabies & sing-a-longs	spotify:track:4XzkS1hmMdenBmmbLbjorO
lullaby (goodnight my angel)	Christina Perri	songs for rosie	spotify:track:1YPhN3iJpT26q1F5CitVlX
somewhere out there (feat. carmella costabile)	Christina Perri, carmella costabile	songs for rosie	spotify:track:4lAFFnHMvtjrScLpi33bxl
smile	Christina Perri	songs for rosie	spotify:track:0XIcnB5ioyvvc4VWZHrRsB
dream a little dream of me	Christina Perri	songs for carmella: lullabies & sing-a-longs	spotify:track:5e0726B3tYcuFnXXQ630Q7
la la lu (for elvis)	Christina Perri	songs for rosie	spotify:track:5etyVakbZhXhndKAglidFz
til there was you	Christina Perri	songs for carmella: lullabies & sing-a-longs	spotify:track:7fmVIBMLYiXRtTFOlxv90i
and at last i see the light (feat. paul costabile)	Christina Perri, Paul Costabile	songs for rosie	spotify:track:4DA14QRZBO31Q8fI8yxGOB
roses in the rain (lullaby)	Christina Perri	songs for rosie	spotify:track:6LYBomYZljvsHKV2rLA3Vs
mothers	Christina Perri	mothers	spotify:track:4AXlebMtXdaleomf845EEh
Bones	Imagine Dragons	Bones	spotify:track:0HqZX76SFLDz2aW8aiqi7G
Heart Upon My Sleeve (feat. Imagine Dragons)	Avicii, Imagine Dragons	TIM	spotify:track:6kXNnS7JJz0nAv4XEwEmQJ
Dancing In The Dark	Imagine Dragons	Evolve	spotify:track:1eQqKhrEJMJzJ0DCYMCzLI
Enemy - From the series Arcane League of Legends	Imagine Dragons, Arcane, League of Legends	Enemy (from the series Arcane League of Legends)	spotify:track:5UlnuulVAVmmesw4VzqHdG
Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons, JID, Arcane, League of Legends	Enemy (with JID) [from the series Arcane League of Legends]	spotify:track:1r9xUipOqoNwggBpENDsvJ
Tokyo	Imagine Dragons	It’s Time EP	spotify:track:4epZ5ws5c3rIwI2pqgHD6P
Leave Me	Imagine Dragons	It’s Time EP	spotify:track:3qasfRKlw6cGDbDhPfZJ8h
Pantomime	Imagine Dragons	It’s Time EP	spotify:track:5YZbIe3e6GIZ4wbBTDeE27
Dolphins	Imagine Dragons	It’s Time EP	spotify:track:64Gy3bhlqlVGY6H4q0E8no
Anything/Everything	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:7yd9a5z33BV9cm64RTPmSm
Texas Sun	Khruangbin, Leon Bridges	Texas Sun	spotify:track:24ntSW3QVJzR79lHAAOTaY
Next To Me	Imagine Dragons	Evolve	spotify:track:7EUfNvyCVxQV3oN5ScA2Lb
Start Over	Imagine Dragons	Evolve	spotify:track:6Q9ue1D2FU489FD4Uln3SX
Born To Be Yours	Kygo, Imagine Dragons	Born To Be Yours	spotify:track:0WVAQaxrT0wsGEG4BCVSn2
All Eyes	Imagine Dragons	Hell And Silence EP	spotify:track:4haoEl9aPJiA0QzkpBmUAT
I Don't Mind	Imagine Dragons	Hell And Silence EP	spotify:track:6EnnNt3cuZPuXG44bQwqfY
Emma	Imagine Dragons	Hell And Silence EP	spotify:track:4BixqolRkt6q6uFRfx57wm
Easy	Imagine Dragons	Hell And Silence EP	spotify:track:2mzBhcSeh7TrsPIobLFDmP
I Need a Minute	Imagine Dragons	Imagine Dragons EP	spotify:track:7KGy3eAm0sEYtkQD55kMWl
Cover Up	Imagine Dragons	Imagine Dragons EP	spotify:track:3C4FznGx0AkYW2xl15rKoQ
Curse	Imagine Dragons	Imagine Dragons EP	spotify:track:0qWWWKe24PhXqVNcJZlbeO
Drive	Imagine Dragons	Imagine Dragons EP	spotify:track:3FmZu1Qbdh2S0uWl1u2Czo
Burn Out	Imagine Dragons	Origins (Deluxe)	spotify:track:5Q7zuH8VNu7aLappSusPu6
Stuck	Imagine Dragons	Origins (Deluxe)	spotify:track:5Z9SQPYU95S6M1vcbLsDt2
Only	Imagine Dragons	Origins (Deluxe)	spotify:track:1uRBbjQ3uNFXCncWyNomHf
Machine	Imagine Dragons	Origins (Deluxe)	spotify:track:4uGY9CqDtGtaTTLg1cgsWD
Real Life	Imagine Dragons	Origins (Deluxe)	spotify:track:7JAzAyjbJFPznEFdqpa1Si
My Life	Imagine Dragons	Mercury - Act 1	spotify:track:6xSIsFET1hxpaYFQuHux4P
Lonely	Imagine Dragons	Mercury - Act 1	spotify:track:3mk4p8cBDd9bzTgooRrFoG
Wrecked	Imagine Dragons	Mercury - Act 1	spotify:track:149BxWeweaCqmsyedkNiiE
It's Ok	Imagine Dragons	Mercury - Act 1	spotify:track:1BhkCNB6yE8OPdOnazI3O5
No Time For Toxic People	Imagine Dragons	Mercury - Act 1	spotify:track:591rVlNAjjUyA44aq6PzTH
One Day	Imagine Dragons	Mercury - Act 1	spotify:track:7MzYWwzeBKEQ2rRGUQmdES
Decades	Logic	Tetris / Decades	spotify:track:0D2IKeV787WZDJurt8ErxD
Angels In The Alleyway (feat. David Archuleta)	Merrick Christensen, David Archuleta	Fear vs. Faith	spotify:track:3M8zrSpM2FyuUmroCSwzYz
The Most Beautiful Part About This Is...(feat. David Archuleta)	Merrick Christensen, David Archuleta	Fear vs. Faith	spotify:track:6wyWGJOSBRmsrW0nkR5V4Q
Anymore	Madilyn Paige, David Archuleta	Anymore	spotify:track:2mwD4K8tV2TrHSnTvZzbWB
Cherry Lane (feat. David Archuleta)	Brooke White, David Archuleta	Never Grow Up	spotify:track:6bzLpmzNyF9Ab5TZiDLrRy
When the Son of Man (Comes Again)	Nashville Tribute Band, David Archuleta	Redeemer: A Nashville Tribute to Jesus Christ	spotify:track:0dMGbUMN2qUZGMNQ0lNZ4u
Angels from the Realms of Glory	Peter Hollens, The Tabernacle Choir at Temple Square, The Piano Guys, David Archuleta	A Hollens Family Christmas Deluxe	spotify:track:3ke7oTzYzbeE3JuWql4Iar
Angels from the Realms of Glory (feat. David Archuleta & Peter Hollens)	Traditional, The Piano Guys, David Archuleta, Peter Hollens, Mack Wilberg, Orchestra at Temple Square	Christmas Together	spotify:track:64zMg4hZVgyIRuZimF7olj
The Cat and the Mouse Carol	The Tabernacle Choir at Temple Square, Orchestra at Temple Square, David Archuleta	Glad Christmas Tidings	spotify:track:5Os4Ny5ENyWMH0hfigExDn
Old Church Choir	Brett Stewart, Colby Wedgeworth, Ethan Hulse, Melanie Shore, Zach Willliams, Millennial Choirs & Orchestras, David Archuleta	God Is Marching On	spotify:track:4qXhvQsLPx3v7YGVj6Uyfw
Love Me, Love Me Not	Joey Contreras, David Archuleta	In Pieces: A New Musical (Highlights)	spotify:track:15JQRlqVN6OtlaLMd4Bv1w
Touch My Hand - AOL Session	David Archuleta	AOL Sessions	spotify:track:0sh5j5Gi7dr0ys1nh7M9jc
Gesύ Bambino	The Tabernacle Choir at Temple Square, Orchestra at Temple Square, David Archuleta	Glad Christmas Tidings	spotify:track:3ULwAFGtdN6sYVbFl3PLV4
The Perfect Fan	Matt Bloyd, David Archuleta	The Perfect Fan	spotify:track:47frnlxP7grHjPT7n3hU9Q
Melodies Of Christmas	David Archuleta	Christmas From The Heart	spotify:track:7ot0OBspFW5ubZaeEOXCAt
My Little Prayer	Lyceum Philharmonic at American Heritage School, David Archuleta	My Little Prayer	spotify:track:4IKCFmAztarojsl9LhTJ40
Movin' - After Hours	David Archuleta	Movin' - After Hours	spotify:track:3jMY3gUg5bQnzEVdQ9oYTJ
I Will Go and Do - 2020 Youth Theme Song	David Archuleta	I Will Go and Do	spotify:track:4n6d9vwz3r1VuqbBcyQPxU
Works For Me	David Archuleta	Works For Me	spotify:track:2i87xVKrXiCwPBOZv11yC8
I Know He Lives	David Archuleta	I Know He Lives	spotify:track:6U8ALam2Tf21FbPwI7xwVQ
What a Wonderful Way to End a Crazy Year	David Archuleta	What a Wonderful Way to End a Crazy Year	spotify:track:1iLUJszFslYa6ns1va6bvs
Mi Pequeña Oración (My Little Prayer)	David Archuleta	Mi Pequeña Oración (My Little Prayer)	spotify:track:4C8hnhN8JIkscy7yeXUxiD
Zero Gravity	David Archuleta	Zero Gravity	spotify:track:2YtVBLLjlTU1V70eFRCUCT
Somebody Out There	David Archuleta	Somebody Out There	spotify:track:6Syaipoh2EGqZTbeOHg351
Movin'	David Archuleta	Movin'	spotify:track:0yj37OoPbIugQvIRPkB7MV
Be That For You	David Archuleta	Be That For You	spotify:track:1DJJa2ATDZG6xi8PkKriMY
What a Beautiful Name (feat. David Archuleta)	BYU Vocal Point, David Archuleta	Grace	spotify:track:7LAK29jDJDrk9SpwpdMevO
9 Years Old	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:6FMuJT75EMjFXxwd9Uw7sQ
Therapy	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:06IZNXIHADh0kXqkWIsVBN
Just Breathe	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:4iWCwotMFdtqw8ui2HixQJ
Angels, from the Realms of Glory	The Tabernacle Choir at Temple Square, Orchestra at Temple Square, Bells on Temple Square, David Archuleta	Glad Christmas Tidings	spotify:track:64kLnk6A3yZmJKyMv0bacZ
Ok, All Right	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:0YuUZpuxeqYnr2CXVm7Xyw
Patient	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:60rm4TCD5OPrAHwZw2vtBs
Need	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:3BWElfgRDxzRsu7vtA8Ylb
Brave	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:5NEBgE6sOQPaF3oIprvaQN
Postcards in the Sky	David Archuleta	Postcards in the Sky	spotify:track:3D47LDGgt14vVllOnGJfyU
Someone to Love	David Archuleta	Postcards in the Sky	spotify:track:0ZyT6fwljmwK4xmPsYKWDH
Shine a Light	David Archuleta	Postcards in the Sky	spotify:track:4WcRpmEcza1OD0TSAY2CW9
Spotlight Down	David Archuleta	Postcards in the Sky	spotify:track:5KOfgVXoUtVFoPP1DYjNkz
I'm Ready	David Archuleta	Postcards in the Sky	spotify:track:3dtYb9vjJG43jdM3gYBrA5
A Little Goes a Long Way	David Archuleta	Postcards in the Sky	spotify:track:4oEZN8oHY6RtddAp2WTAfF
Other Things in Sight	David Archuleta	Postcards in the Sky	spotify:track:1WbQFTxSKxyjdZrxP1YgV3
Cracks of Heaven	David Archuleta	Postcards in the Sky	spotify:track:5NUqpommkfWgVbTkRnjqXX
Aiming for Hope	David Archuleta	Postcards in the Sky	spotify:track:2ZzaKMghtYVJPi42AZ9viP
Seasons (feat. Madilyn Paige)	David Archuleta, Madilyn Paige	Postcards in the Sky	spotify:track:6A32hOe48H0wbE4EI3IYi7
Waiting in the Stars	David Archuleta	Postcards in the Sky	spotify:track:2Yw0a4KEXHyTKX0BneL9xa
Walkthrough! (feat. Eminem)	GRIP, Eminem	I Died For This!?	spotify:track:2YiOB2GiCHUbIA9TqaEFkS
AUTOBOTO	Lupe Fiasco, Nayirah	AUTOBOTO	spotify:track:31pih2HK5Vj1RwRXF0p6L7
8701	JID, 6LACK	The Never Story	spotify:track:0gmYtRyuvRKpd6cCApSDTh
MTFU	6LACK	FREE 6LACK	spotify:track:6R6d2iN6rHbtmEBKmf67wa
scales	mxmtoon	rising	spotify:track:0YVjNCc4y3tQj873dT5QSW
Fallin (feat. 6LACK)	Bazzi, 6LACK	Soul Searching	spotify:track:6gNJFEFNY9SMqnNep3oY9o
Drunk (feat. 6LACK)	ScHoolboy Q, 6LACK	CrasH Talk	spotify:track:06Y14QBRyzmPRqrswAfF4J
First Fuck	6LACK, Jhené Aiko	First Fuck	spotify:track:1u4orOe6gYxeE9xKpv11Qi
Cutting Ties	6LACK	Cutting Ties	spotify:track:6lJ5aSxKHCwNBoWkZT3JeJ
Long Nights	6LACK	6pc Hot EP	spotify:track:1RDLbX9L2G4zDqxXCaMJo5
Elephant In The Room	6LACK	6pc Hot EP	spotify:track:5GDczqhwUUMXErS5XphwwQ
Bless Me	6LACK	Bless Me - Single	spotify:track:2QUkDpFgjXHcilqVkjixEe
That Far	6LACK	That Far	spotify:track:1BjiBbVzBMREvXiT6X5tHi

Can't Call It	Spillage Village, J. Cole, Bas, EARTHGANG, JID	Bears Like This Too Much	spotify:track:0k7UxTqp57Q4oXMaYMTO9P
Green Lights	NF	Perception	spotify:track:0MvqSYPr5Wi62JB7VWvqwz
Bohemian Trapsody	Logic	Supermarket (Soundtrack)	spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2
DeLorean	Logic	Supermarket (Soundtrack)	spotify:track:2BxpnZOmEu9RQsAlJtt0pb
Electric Feel - The Voice Performance	Preston Pohl	Electric Feel (The Voice Performance)	spotify:track:1me3ib2trITpFc84iA4eQQ
Lonely Together (feat. Rita Ora)	Avicii, Rita Ora	AVĪCI (01)	spotify:track:7DoN0sCGIT9IcLrtBDm4f0
What You Don't Do - Tom Misch Remix	Lianne La Havas, Tom Misch	What You Don't Do (Tom Misch Remix)	spotify:track:2pygzLN7fwCgeW5FNaugEm
The Greatest	James Blunt	Once Upon a Mind	spotify:track:0u938ihd27rzzw8Qe3fQ0x
Can’t Fight This Feeling	Bastille, London Contemporary Orchestra	Can’t Fight This Feeling	spotify:track:6lYNtepnbJVzR0tAxj2lW7
For All My Niggas (& Styles P)	Dave East, Styles P	Beloved	spotify:track:1b7anzO66ou5q18hOt5Zb1
State Of Emergency	Logic, 2 Chainz	Bobby Tarantino II	spotify:track:58cvckETahSOG74RP5WE99
Hurt People Hurt People	The Script	Sunsets & Full Moons	spotify:track:4tgP8QJD8zEqhPAL8YMXcO
Into the Unknown - From "Frozen 2"	Panic! At The Disco	Into the Unknown (From "Frozen 2")	spotify:track:0v622a7rlXRYcT6m3xwutU
Salted Wound - From "Fifty Shades Of Grey" Soundtrack	Sia	Salted Wound (From The" Fifty Shades Of Grey" Soundtrack)	spotify:track:69b5QMSpgvGhcjbQXzmxfP
Prima Donna	Vince Staples, A$AP Rocky	Prima Donna	spotify:track:1PjKowBEfdICVBaxJDPsvm
Streets of Philadelphia	The Fray	Covers	spotify:track:6ZIEcsyB2gLFYvHZu23gAm
Exotic Shit (& Styles P)	Dave East, Styles P	Beloved	spotify:track:72WomMKwFsxdbeSBRGvZTd
Blessings (feat. Ty Dolla $ign)	Lecrae, Ty Dolla $ign	Blessings (feat. Ty Dolla $ign)	spotify:track:6VnLjrkcajFj4Rzq6jFznj
Blaxploitation	Noname	Room 25	spotify:track:1XiKRU9Dg7QPlGRSWbfXgo
Nobody Can Save Me - One More Light Live	Linkin Park	One More Light Live	spotify:track:6LYZAzd9FoPEecenhggMsy
Don't Come Around	Kodaline	Politics of Living	spotify:track:21H4aitXRqf0PaSzJjhy6b
NASA	Ariana Grande	thank u, next	spotify:track:4uTvPEr01pjTbZgl7jcKBD
If I Left The World (feat. MARINA & Model Child)	Gryffin, MARINA, Model Child	Gravity	spotify:track:5mEdu358hFKpuN4YbJ2ZQy
I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)	Flo Rida, Robin Thicke, Verdine White	I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)	spotify:track:57ObB6koJ1TeqoIDeq27gl
Smoke & Retribution (feat. Vince Staples & Kucka)	Flume, Vince Staples, KUČKA	Smoke & Retribution (feat. Vince Staples & Kucka)	spotify:track:7gL2cayNSvJkCJM5dAVOVO
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)	Megan Thee Stallion, Nicki Minaj, Ty Dolla $ign	Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)	spotify:track:5EjNEaFiXpddlZglT4RoWi
Underwater (Live)	Joshua Radin	Joshua Radin Live from the Village (Deluxe)	spotify:track:43TkWq695tOaLln7X17Vae
Nothing Without You	Olly Murs	Never Been Better	spotify:track:5soQhq8s4EKpXgMXs67xfe
Tailgate Blues	Luke Bryan	Tailgates & Tanlines	spotify:track:1ZfmSnCgAASOe28QLkuT7p
Heroin	Lana Del Rey	Lust For Life	spotify:track:7lSdUlVf8k6kxklKkskb1m
Righteous	Juice WRLD	Righteous	spotify:track:0OyQns5ayNK2OVaES0Vb8t
Savage Remix (feat. Beyoncé)	Megan Thee Stallion, Beyoncé	Savage Remix (feat. Beyoncé)	spotify:track:5v4GgrXPMghOnBBLmveLac
Ballin' (with Roddy Ricch)	Mustard, Roddy Ricch	Perfect Ten	spotify:track:3QzAOrNlsabgbMwlZt7TAY
Brothers Keeper (featuring Royce da 5'9" / Joe Budden / Crooked I)	Joell Ortiz, Joe Budden, KXNG Crooked, Royce Da 5'9"	House Slippers	spotify:track:4AnXaluDuQ4EKDn1Zv8RuW
Smile	Katy Perry	Smile	spotify:track:3DXdjHnePKnh6oXw2ZgGSl
Bigger Love	John Legend	Bigger Love	spotify:track:6q2eAEsGYAjjb30A1SThGu
One Margarita	Luke Bryan	One Margarita	spotify:track:6NhS5LwYbJ6xD7BGvlWRJO
Higher (feat. Nipsey Hussle & John Legend)	DJ Khaled, Nipsey Hussle, John Legend	Higher	spotify:track:62jiUv5B0Ps4E1s6lAzYyr
Rule The World (feat. Ariana Grande)	2 Chainz, Ariana Grande	Rap Or Go To The League	spotify:track:1R6VwZ8TuHRzxZUxe88n4I
Cigarettes On Patios	BabyJake	Cigarettes On Patios	spotify:track:44yeuXXaEnaK5Cugptf7GH
Blackstar	David Bowie	Blackstar	spotify:track:0Y0pFPV5Y9OCxY5ZkcAE31
LOYAL (feat. Drake)	PARTYNEXTDOOR, Drake	LOYAL (feat. Drake)	spotify:track:5bvnqVuq7UFl0txSlHpsfS
CAN'T SAY	Travis Scott	ASTROWORLD	spotify:track:27a1mYSG5tYg7dmEjWBcmL
Down	Marian Hill	Down	spotify:track:3E1DMM5J1PZxagCy6LoIpO
Wake Up (feat. Chance the Rapper)	Tee Grizzley, Chance the Rapper	Wake Up (feat. Chance the Rapper)	spotify:track:1MfNF3rf2SvI7B8fYhLEE7
Getaway Green	All Time Low	Getaway Green/Sleeping In/Some Kind Of Disaster	spotify:track:3pUJI1a0oZNHj9wRtZOf5O
The Mates of Soul	Taylor John Williams	The Mates of Soul	spotify:track:3IuMHtASp6r0T78WcbYGDQ
Never Gonna Be Alone	Brantley Gilbert	Fire & Brimstone	spotify:track:3dqEms34WpZzl8qrkUQ3Wi
The Next Best American Record	Lana Del Rey	Norman Fucking Rockwell!	spotify:track:7vRfxLcDDwgYW2WTrtEgUV
Angela (Single Version)	The Lumineers	Angela (Single Version)	spotify:track:5kGBSOrKYmhRfdPBw4xD8D
Outside Today	YoungBoy Never Broke Again	Outside Today	spotify:track:5Qx9hngUBr30JFrNua7yp4
Yebba’s Heartbreak	Drake, Yebba	Certified Lover Boy	spotify:track:1PDP7mLiAMwhfmgIwzhOm2
SUVs (Black on Black)	Jack Harlow, Pooh Shiesty	SUVs (Black on Black)	spotify:track:1MIGkQxcdAt2lDx6ySpsc5
Biutyful	Coldplay	Music Of The Spheres	spotify:track:2L2mM3rEO3arNIMQnb3dou
I Love It Restrung	Hilltop Hoods, Sia	Drinking From The Sun, Walking Under Stars Restrung	spotify:track:1ulj96Jm3fB4RPRx3sQAz9
Tornado	Little Big Town	Tornado	spotify:track:3HvNzmI0hX2dXcE41lBMxi
Wonder	Naughty Boy, Emeli Sandé	Hotel Cabana (Deluxe Version)	spotify:track:5uwkpdQvq3ZKR2iSWADLjK
If You Want To	Travis Barker, Pharrell Williams, Lupe Fiasco	Give The Drummer Some (Deluxe)	spotify:track:4WFDQlRbdlYamiPl3iUbgj
Hold Tight	Madonna	Rebel Heart (Deluxe)	spotify:track:1MSDYFqzCsVkXAU5BgKs63
Bad Boy (feat. Jungle Rock Jr.)	Royce Da 5'9", Jungle Rock Jr.	Street Hop (Deluxe)	spotify:track:4KJv9TGh28KYZRTWgjrrEJ
Everlasting Love	Fifth Harmony	Reflection (Deluxe)	spotify:track:5FTmUdgqcDTukNT8euZA8r
FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)	Tyler, The Creator, Roy Ayers, Syd, Kali Uchis	Cherry Bomb	spotify:track:7er0EUMY653mxZ1NVD9mwQ
Liar Liar	Cris Cab	Liar Liar	spotify:track:2Wyqnc6LHeEZxDS41DcAJn
If I Knew	Bruno Mars	Unorthodox Jukebox	spotify:track:7lXOqE38eCr979gp27O5wr
See Me Now	Little Mix	Salute (The Deluxe Edition)	spotify:track:5b79ewRWsxOlmJJPTlTake
Never Let You Go	Alex Clare	Three Hearts	spotify:track:1oCMD2uLZKdAzO3sJcJToh
Lover, You Should've Come Over	Jeff Buckley	So Real: Songs From Jeff Buckley	spotify:track:3sfEmuMx0Phhq76m5cEV9A
Coyotes	Modest Mouse	Coyotes	spotify:track:4sF88gWxiE1cQG6NGXhpX5
West Coast	Lana Del Rey	West Coast	spotify:track:5TOwCJuRa9H82eklOv2nj6
Good Lookin' Girl	Luke Bryan	Spring Break 6...Like We Ain't Ever	spotify:track:6trTeBK2mn4QNPRIi7JIIW
Numb	Nick Jonas, Angel Haze	Nick Jonas (Deluxe)	spotify:track:5qVk7z1eLoBdyLq3VEEMA1
Hopeless Opus	Imagine Dragons	Smoke + Mirrors	spotify:track:46dszOgLrnBSqbo6Vkc91Q
Do You Want Me (Dead?)	All Time Low	Dirty Work (Deluxe Version)	spotify:track:1KPFyt1bmpNFydkIzKk0Nd
Hush Little Baby	Wretch 32, Ed Sheeran	Black and White	spotify:track:6PjfYFkRh5ZUZw57gaYTf6
Goodbye Girl	Luke Bryan	Crash My Party (Deluxe)	spotify:track:7DUJ4AAtUb0ZRmqjA0NsrY
Riot	Mikky Ekko	Time (Spotify Exclusive)	spotify:track:29UOETJwyyZKAFgVfBuXmQ
You're On (feat. Kyan) - Gramatik Remix	Madeon, Kyan, Gramatik	You're On (Remixes) (feat. Kyan)	spotify:track:2OlZu4pJaqsq5rXgc5EqaK
We All Want The Same Thing	Rixton	Let The Road	spotify:track:6cv0maKXFbjZRmu3Oxb4jJ
Sweet Talker	Jessie J	Sweet Talker (Deluxe Version)	spotify:track:69AoGCrqDo2Ycj3Wm27NxM
It Will Come Back	Hozier	Hozier (Deluxe)	spotify:track:35upu7uVMA4XNiQMMl6ZGh
Soon Come Soon	Young Fathers	Soon Come Soon	spotify:track:0e0siwPeCy9UvQzN7zp6n8
Take You High	Kelly Clarkson	Take You High	spotify:track:6UEAYtniMI9fbJOtVFtBaD
This Has Been My World	Ludacris	Ludaversal	spotify:track:3691ZGawgwthMROKRyUZ6l
The Beach	All Time Low	So Wrong, It's Right (Deluxe Version)	spotify:track:04TZQMtZV5AgCN8EemKEZr
Hurts Like Heaven	Coldplay	Mylo Xyloto	spotify:track:6WF4hzdGXvXd1joERSXJjm
All of You	Betty Who	Take Me When You Go	spotify:track:1QukgQhqTVgT8VFiG6Vxgb
Lucy (Hurt People Hurt People)	Olivver the Kid	Freak	spotify:track:7uhfJ11SoxlwREvTV80QA5
I'm Low on Gas and You Need a Jacket	Pierce The Veil	Collide With The Sky	spotify:track:3t8YwuiYwZQkC1H8tPl2km
Nothing Else Matters	Metallica	The Metallica Collection	spotify:track:2dzoV0QSVtGk2J99XSRsxh
SCOOP (feat. Doja Cat)	Lil Nas X, Doja Cat	MONTERO	spotify:track:6bpq1jGkVz66Q3LYeoXdjZ
Heartless	Milo Greene	Heartless	spotify:track:76uBAUMXCg9qXyhxt8Z7HU
Mama Says	Ibeyi	Mama Says	spotify:track:7wYU6M1YRZRo7ycprYjVaJ
Wait, Wait, Wait	Northern Faces	Wait, Wait, Wait	spotify:track:1FamUWHJndW3itec1pP5Qe
Come Find Me	Emile Haynie, Lykke Li, Romy	Come Find Me	spotify:track:5oP4COZz6arZkyQwgfwR79
El Perdón (with Enrique Iglesias)	Nicky Jam, Enrique Iglesias	El Perdón (with Enrique Iglesias)	spotify:track:4Ld3RS6KBXGsvtfmnjxlVl
Diamond Rings And Old Barstools	Tim McGraw, Catherine Dunn	Diamond Rings And Old Barstools	spotify:track:6iQ7mdiae1rTFxSb4Nwf3j
Thrill Is Gone (feat. Ryan Tedder)	Baby Bash, Ryan Tedder	Cyclone	spotify:track:4Oj5dBcZr9Cp7Gcc9wjGRF
Howlin' At The Moon	MOD SUN	Howlin' At The Moon – Single	spotify:track:180QZiO7VTOr32jujQ8FaO
Absolution Calling	Incubus	Absolution Calling	spotify:track:5hrttaWkwM1vXVaNFvlbs7
Love Me Like You Mean It	Kelsea Ballerini	Kelsea Ballerini	spotify:track:4pYnJe4q6HXZ3XZj80irbY
Thru	Vallis Alps	Vallis Alps	spotify:track:2k80B1DEqJFUG4L5LUa6Mv
